Kode_Item,Nama_Item,Kandungan,Tipe_Golongan_Obat,Kategori_Obat,HNA,Satuan
OBT00000,Obat Rerum,Paracetamol 125mg,Keras,Antihistamin,46774,kapsul
OBT00001,Obat Eaque,Amoxicillin 350mg,Keras,Antihistamin,76489,botol
OBT00002,Obat Magni,Ibuprofen 242mg,Bebas,Antihistamin,40764,botol
OBT00003,Obat Ea,Paracetamol 792mg,Narkotika,Antihistamin,12639,tablet
OBT00004,Obat Consequuntur,Metformin 189mg,Bebas,Antibiotik,72737,sirup
OBT00005,Obat Nemo,Metformin 532mg,Keras,Vitamin,77816,tablet
OBT00006,Obat Quidem,Paracetamol 130mg,Bebas Terbatas,Antihistamin,177666,tablet
OBT00007,Obat Voluptatem,Paracetamol 323mg,Keras,Analgesik,149364,sirup
OBT00008,Obat Id,Ibuprofen 617mg,Keras,Antihistamin,51133,botol
OBT00009,Obat Exercitationem,Metformin 127mg,Bebas Terbatas,Antidiabetik,173897,botol
OBT00010,Obat Ea,Metformin 303mg,Narkotika,Analgesik,16070,kapsul
OBT00011,Obat Facere,Metformin 529mg,Keras,Vitamin,194392,sirup
OBT00012,Obat Magni,Ibuprofen 559mg,Narkotika,Antihistamin,132360,kapsul
OBT00013,Obat Quas,Metformin 384mg,Bebas Terbatas,Antibiotik,10218,tablet
OBT00014,Obat Quo,Paracetamol 877mg,Bebas Terbatas,Antibiotik,19503,botol
OBT00015,Obat Corporis,Ibuprofen 814mg,Bebas Terbatas,Antihistamin,27001,tablet
OBT00016,Obat Quae,Cetirizine 448mg,Bebas,Antidiabetik,87288,tablet
OBT00017,Obat Accusamus,Amoxicillin 259mg,Narkotika,Antibiotik,162705,botol
OBT00018,Obat Maxime,Ibuprofen 881mg,Bebas,Analgesik,83113,botol
OBT00019,Obat Ab,Amoxicillin 204mg,Bebas Terbatas,Antidiabetik,21667,sirup
OBT00020,Obat Aliquam,Paracetamol 489mg,Keras,Vitamin,111694,botol
OBT00021,Obat Voluptatibus,Paracetamol 467mg,Bebas,Vitamin,100272,kapsul
OBT00022,Obat Molestiae,Amoxicillin 718mg,Keras,Antibiotik,181074,botol
OBT00023,Obat Ex,Amoxicillin 926mg,Bebas,Antidiabetik,177341,tablet
OBT00024,Obat Possimus,Paracetamol 847mg,Narkotika,Antibiotik,28673,tablet
OBT00025,Obat Sit,Cetirizine 649mg,Keras,Vitamin,109043,sirup
OBT00026,Obat Sit,Paracetamol 487mg,Bebas,Antibiotik,194853,tablet
OBT00027,Obat Similique,Paracetamol 665mg,Bebas Terbatas,Antidiabetik,41847,kapsul
OBT00028,Obat Reprehenderit,Amoxicillin 949mg,Bebas Terbatas,Antihistamin,66876,sirup
OBT00029,Obat Ipsa,Metformin 982mg,Narkotika,Vitamin,34342,botol
OBT00030,Obat Corporis,Amoxicillin 691mg,Narkotika,Antihistamin,154677,botol
OBT00031,Obat Non,Ibuprofen 821mg,Bebas,Antidiabetik,197539,botol
OBT00032,Obat Labore,Paracetamol 146mg,Bebas Terbatas,Vitamin,136137,tablet
OBT00033,Obat Eligendi,Ibuprofen 891mg,Keras,Antibiotik,36625,tablet
OBT00034,Obat Neque,Amoxicillin 181mg,Bebas,Antibiotik,141828,kapsul
OBT00035,Obat Atque,Ibuprofen 987mg,Bebas,Antibiotik,179120,botol
OBT00036,Obat Odio,Paracetamol 489mg,Bebas Terbatas,Vitamin,157153,kapsul
OBT00037,Obat Sed,Amoxicillin 564mg,Narkotika,Vitamin,142693,botol
OBT00038,Obat Saepe,Amoxicillin 266mg,Keras,Antibiotik,71009,sirup
OBT00039,Obat Quos,Amoxicillin 463mg,Narkotika,Antibiotik,135141,kapsul
OBT00040,Obat Cum,Ibuprofen 786mg,Bebas,Antihistamin,28658,kapsul
OBT00041,Obat Laudantium,Amoxicillin 818mg,Bebas,Vitamin,67410,tablet
OBT00042,Obat Fuga,Paracetamol 723mg,Bebas Terbatas,Antibiotik,162239,tablet
OBT00043,Obat Saepe,Ibuprofen 646mg,Narkotika,Antidiabetik,37054,kapsul
OBT00044,Obat Iure,Ibuprofen 267mg,Bebas,Antibiotik,87158,sirup
OBT00045,Obat Incidunt,Cetirizine 488mg,Bebas,Vitamin,91320,tablet
OBT00046,Obat Aliquid,Amoxicillin 755mg,Narkotika,Antibiotik,158177,botol
OBT00047,Obat Explicabo,Metformin 324mg,Bebas Terbatas,Antihistamin,198262,kapsul
OBT00048,Obat Eius,Amoxicillin 963mg,Bebas Terbatas,Analgesik,107223,tablet
OBT00049,Obat Assumenda,Paracetamol 334mg,Keras,Vitamin,66849,tablet
OBT00050,Obat Saepe,Paracetamol 924mg,Keras,Vitamin,115852,sirup
OBT00051,Obat Veniam,Amoxicillin 510mg,Keras,Analgesik,62149,kapsul
OBT00052,Obat Fugit,Amoxicillin 167mg,Narkotika,Antibiotik,42821,botol
OBT00053,Obat Quasi,Ibuprofen 680mg,Keras,Antihistamin,33000,sirup
OBT00054,Obat Tempora,Amoxicillin 317mg,Keras,Antibiotik,50915,kapsul
OBT00055,Obat Dolores,Cetirizine 505mg,Narkotika,Analgesik,61127,kapsul
OBT00056,Obat Reiciendis,Cetirizine 246mg,Keras,Antihistamin,76970,tablet
OBT00057,Obat Dignissimos,Amoxicillin 242mg,Bebas Terbatas,Antidiabetik,120205,kapsul
OBT00058,Obat Aperiam,Ibuprofen 862mg,Bebas,Antidiabetik,112053,botol
OBT00059,Obat Quos,Metformin 651mg,Bebas Terbatas,Antihistamin,71664,tablet
OBT00060,Obat Vel,Amoxicillin 864mg,Bebas Terbatas,Antidiabetik,159528,tablet
OBT00061,Obat Totam,Metformin 538mg,Bebas,Antihistamin,19660,botol
OBT00062,Obat Dolorem,Metformin 508mg,Bebas Terbatas,Antibiotik,133544,sirup
OBT00063,Obat Sed,Amoxicillin 324mg,Bebas,Antibiotik,144845,botol
OBT00064,Obat Aperiam,Ibuprofen 621mg,Bebas Terbatas,Analgesik,103226,tablet
OBT00065,Obat Laboriosam,Cetirizine 193mg,Narkotika,Antibiotik,188400,tablet
OBT00066,Obat Iusto,Paracetamol 981mg,Narkotika,Antibiotik,34612,tablet
OBT00067,Obat Eos,Paracetamol 256mg,Keras,Analgesik,87965,botol
OBT00068,Obat Quibusdam,Ibuprofen 911mg,Narkotika,Vitamin,148063,kapsul
OBT00069,Obat Pariatur,Cetirizine 710mg,Bebas,Vitamin,116091,kapsul
OBT00070,Obat Perferendis,Paracetamol 494mg,Keras,Antihistamin,129480,sirup
OBT00071,Obat Maxime,Cetirizine 710mg,Bebas Terbatas,Vitamin,183975,kapsul
OBT00072,Obat Voluptate,Cetirizine 641mg,Narkotika,Vitamin,69578,kapsul
OBT00073,Obat Accusantium,Amoxicillin 666mg,Keras,Vitamin,77806,tablet
OBT00074,Obat Nisi,Paracetamol 796mg,Narkotika,Antibiotik,42987,tablet
OBT00075,Obat Enim,Paracetamol 798mg,Keras,Vitamin,100157,botol
OBT00076,Obat Libero,Metformin 868mg,Bebas,Antibiotik,129576,tablet
OBT00077,Obat Placeat,Amoxicillin 887mg,Bebas,Antibiotik,192608,tablet
OBT00078,Obat Accusamus,Amoxicillin 214mg,Bebas Terbatas,Analgesik,101400,sirup
OBT00079,Obat Distinctio,Amoxicillin 545mg,Keras,Antihistamin,85785,kapsul
OBT00080,Obat Reiciendis,Ibuprofen 564mg,Bebas,Analgesik,10524,tablet
OBT00081,Obat Soluta,Paracetamol 839mg,Bebas Terbatas,Antidiabetik,174187,kapsul
OBT00082,Obat Maiores,Amoxicillin 612mg,Keras,Antibiotik,163810,tablet
OBT00083,Obat A,Ibuprofen 619mg,Bebas Terbatas,Vitamin,14125,kapsul
OBT00084,Obat Tenetur,Paracetamol 991mg,Bebas,Vitamin,198842,kapsul
OBT00085,Obat Vel,Amoxicillin 961mg,Bebas Terbatas,Antidiabetik,178597,tablet
OBT00086,Obat Reiciendis,Metformin 723mg,Keras,Antihistamin,19332,botol
OBT00087,Obat Aliquid,Ibuprofen 256mg,Narkotika,Antibiotik,186058,tablet
OBT00088,Obat Eligendi,Amoxicillin 880mg,Bebas,Antidiabetik,181055,sirup
OBT00089,Obat Soluta,Ibuprofen 652mg,Keras,Antidiabetik,67829,sirup
OBT00090,Obat Quos,Metformin 100mg,Keras,Antidiabetik,71317,kapsul
OBT00091,Obat Repellat,Metformin 431mg,Bebas Terbatas,Antibiotik,149894,kapsul
OBT00092,Obat Sapiente,Cetirizine 119mg,Bebas,Antibiotik,105844,botol
OBT00093,Obat Alias,Paracetamol 471mg,Narkotika,Antibiotik,86072,botol
OBT00094,Obat Suscipit,Amoxicillin 345mg,Narkotika,Antibiotik,172496,tablet
OBT00095,Obat Quibusdam,Paracetamol 346mg,Bebas Terbatas,Analgesik,188662,kapsul
OBT00096,Obat Occaecati,Metformin 180mg,Bebas,Antidiabetik,100120,kapsul
OBT00097,Obat Accusamus,Paracetamol 849mg,Narkotika,Analgesik,184633,tablet
OBT00098,Obat Quas,Cetirizine 935mg,Bebas,Antihistamin,36995,sirup
OBT00099,Obat Cupiditate,Paracetamol 878mg,Bebas Terbatas,Antidiabetik,145223,sirup
OBT00100,Obat Iusto,Metformin 884mg,Bebas,Antibiotik,66966,kapsul
OBT00101,Obat Magnam,Ibuprofen 231mg,Bebas,Antibiotik,120973,tablet
OBT00102,Obat Voluptatibus,Cetirizine 662mg,Bebas,Antibiotik,106835,botol
OBT00103,Obat Sit,Ibuprofen 371mg,Bebas Terbatas,Analgesik,7062,sirup
OBT00104,Obat Ducimus,Metformin 993mg,Bebas Terbatas,Antibiotik,108016,tablet
OBT00105,Obat Quam,Metformin 533mg,Bebas Terbatas,Antidiabetik,71986,botol
OBT00106,Obat Sapiente,Ibuprofen 652mg,Narkotika,Vitamin,83876,kapsul
OBT00107,Obat Nostrum,Ibuprofen 830mg,Keras,Antidiabetik,28658,botol
OBT00108,Obat Unde,Amoxicillin 508mg,Bebas,Antihistamin,66724,kapsul
OBT00109,Obat Omnis,Amoxicillin 548mg,Keras,Antidiabetik,82967,tablet
OBT00110,Obat Ullam,Metformin 562mg,Bebas,Antibiotik,60151,sirup
OBT00111,Obat Quas,Paracetamol 353mg,Bebas,Antidiabetik,47002,sirup
OBT00112,Obat Dignissimos,Ibuprofen 165mg,Bebas,Antidiabetik,120040,tablet
OBT00113,Obat Dolorum,Amoxicillin 121mg,Bebas Terbatas,Analgesik,170505,tablet
OBT00114,Obat Suscipit,Metformin 667mg,Narkotika,Vitamin,88147,kapsul
OBT00115,Obat At,Ibuprofen 702mg,Bebas Terbatas,Antidiabetik,173933,botol
OBT00116,Obat Unde,Ibuprofen 107mg,Bebas,Antihistamin,111506,sirup
OBT00117,Obat Commodi,Paracetamol 824mg,Keras,Antidiabetik,13881,botol
OBT00118,Obat Nesciunt,Paracetamol 334mg,Bebas,Vitamin,76837,tablet
OBT00119,Obat Modi,Paracetamol 132mg,Bebas,Vitamin,25996,kapsul
OBT00120,Obat Quia,Amoxicillin 172mg,Narkotika,Vitamin,133894,sirup
OBT00121,Obat Omnis,Metformin 343mg,Bebas,Vitamin,128493,tablet
OBT00122,Obat Aut,Amoxicillin 785mg,Bebas Terbatas,Vitamin,198184,sirup
OBT00123,Obat Asperiores,Cetirizine 319mg,Narkotika,Analgesik,113255,botol
OBT00124,Obat Ullam,Metformin 235mg,Narkotika,Vitamin,92221,kapsul
OBT00125,Obat Quod,Metformin 690mg,Narkotika,Analgesik,193058,sirup
OBT00126,Obat Cumque,Cetirizine 348mg,Bebas,Antidiabetik,115720,kapsul
OBT00127,Obat Nemo,Cetirizine 926mg,Narkotika,Antidiabetik,31318,sirup
OBT00128,Obat Autem,Cetirizine 294mg,Narkotika,Analgesik,47033,botol
OBT00129,Obat Adipisci,Paracetamol 199mg,Bebas Terbatas,Antibiotik,188102,tablet
OBT00130,Obat Voluptate,Cetirizine 462mg,Keras,Vitamin,73411,sirup
OBT00131,Obat Similique,Cetirizine 520mg,Bebas Terbatas,Vitamin,137732,tablet
OBT00132,Obat Dignissimos,Cetirizine 984mg,Bebas Terbatas,Antidiabetik,22397,botol
OBT00133,Obat Sapiente,Paracetamol 789mg,Keras,Analgesik,97237,botol
OBT00134,Obat Eaque,Paracetamol 162mg,Keras,Vitamin,115328,kapsul
OBT00135,Obat Aut,Cetirizine 845mg,Narkotika,Antidiabetik,162841,tablet
OBT00136,Obat Quibusdam,Amoxicillin 919mg,Bebas Terbatas,Vitamin,196163,kapsul
OBT00137,Obat At,Paracetamol 354mg,Bebas,Analgesik,148583,tablet
OBT00138,Obat Illum,Ibuprofen 294mg,Bebas Terbatas,Antibiotik,198406,tablet
OBT00139,Obat Vel,Metformin 559mg,Keras,Antihistamin,90660,sirup
OBT00140,Obat Impedit,Ibuprofen 532mg,Narkotika,Antidiabetik,123819,kapsul
OBT00141,Obat Dolorem,Ibuprofen 385mg,Narkotika,Antidiabetik,187245,botol
OBT00142,Obat Possimus,Cetirizine 355mg,Narkotika,Antihistamin,12169,kapsul
OBT00143,Obat Rem,Paracetamol 553mg,Bebas,Antihistamin,18657,tablet
OBT00144,Obat Reiciendis,Metformin 200mg,Bebas,Antidiabetik,173132,tablet
OBT00145,Obat Recusandae,Paracetamol 767mg,Keras,Antibiotik,173189,kapsul
OBT00146,Obat Nostrum,Metformin 956mg,Narkotika,Antidiabetik,53166,sirup
OBT00147,Obat Veritatis,Paracetamol 195mg,Bebas Terbatas,Antihistamin,170191,botol
OBT00148,Obat Est,Ibuprofen 270mg,Narkotika,Vitamin,121235,sirup
OBT00149,Obat Unde,Cetirizine 597mg,Bebas Terbatas,Analgesik,173060,kapsul
OBT00150,Obat Temporibus,Cetirizine 318mg,Bebas Terbatas,Vitamin,40675,kapsul
OBT00151,Obat Itaque,Cetirizine 160mg,Bebas,Antibiotik,5806,botol
OBT00152,Obat Fugit,Ibuprofen 488mg,Narkotika,Antidiabetik,110031,kapsul
OBT00153,Obat Alias,Paracetamol 499mg,Keras,Antidiabetik,57448,tablet
OBT00154,Obat Harum,Amoxicillin 902mg,Narkotika,Analgesik,169704,kapsul
OBT00155,Obat Voluptas,Cetirizine 392mg,Narkotika,Vitamin,85097,botol
OBT00156,Obat Quod,Cetirizine 813mg,Keras,Analgesik,87240,sirup
OBT00157,Obat Rerum,Metformin 777mg,Keras,Antibiotik,155944,kapsul
OBT00158,Obat Enim,Cetirizine 258mg,Narkotika,Vitamin,26556,sirup
