Kode_Item,Nama_Item,Kode_Transaksi,qty,harga,sub_total
OBT00408,Obat Numquam,TRX000000,1,160767,160767
OBT00524,Obat Explicabo,TRX000000,3,154023,462069
OBT00087,Obat Aliquid,TRX000000,1,186058,186058
OBT00046,Obat Aliquid,TRX000001,1,158177,158177
OBT00469,Obat Quasi,TRX000001,1,162375,162375
OBT00448,Obat Optio,TRX000001,3,36615,109845
OBT00441,Obat Dignissimos,TRX000002,2,47713,95426
OBT00523,Obat Id,TRX000002,3,193824,581472
OBT01705,Obat Dolor,TRX000002,2,141024,282048
OBT00620,Obat Corporis,TRX000002,3,121723,365169
OBT00756,Obat Alias,TRX000003,3,140105,420315
OBT01330,Obat Possimus,TRX000003,3,168902,506706
OBT00261,Obat Atque,TRX000003,1,109216,109216
OBT01269,Obat Quos,TRX000004,3,76568,229704
OBT00910,Obat Voluptatem,TRX000004,2,115820,231640
OBT01669,Obat Quos,TRX000005,1,103108,103108
OBT01885,Obat Non,TRX000005,3,123367,370101
OBT00559,Obat Numquam,TRX000005,1,181530,181530
OBT01264,Obat Cumque,TRX000005,1,94819,94819
OBT01838,Obat Voluptates,TRX000006,2,122957,245914
OBT00017,Obat Accusamus,TRX000006,2,162705,325410
OBT00584,Obat Odit,TRX000006,1,185956,185956
OBT01504,Obat Omnis,TRX000007,2,91034,182068
OBT01782,Obat Harum,TRX000007,3,23703,71109
OBT01246,Obat Dignissimos,TRX000007,2,145008,290016
OBT01849,Obat Animi,TRX000008,3,177713,533139
OBT01813,Obat Enim,TRX000008,3,176466,529398
OBT01843,Obat Voluptate,TRX000009,1,156390,156390
OBT01127,Obat Harum,TRX000009,1,159374,159374
OBT01906,Obat Reiciendis,TRX000009,2,81311,162622
OBT00584,Obat Odit,TRX000009,2,185956,371912
OBT01370,Obat Alias,TRX000009,1,154396,154396
OBT01936,Obat Nemo,TRX000010,2,46623,93246
OBT01800,Obat Optio,TRX000010,1,198939,198939
OBT01551,Obat Consequatur,TRX000011,1,158731,158731
OBT01028,Obat Omnis,TRX000011,1,82065,82065
OBT00276,Obat Reprehenderit,TRX000012,1,92257,92257
OBT00596,Obat Magni,TRX000013,2,54341,108682
OBT01697,Obat Ipsum,TRX000014,1,22006,22006
OBT00830,Obat Molestiae,TRX000014,2,23240,46480
OBT01265,Obat Minima,TRX000014,3,171505,514515
OBT00668,Obat Ab,TRX000014,2,114350,228700
OBT01589,Obat Asperiores,TRX000014,3,62515,187545
OBT01511,Obat Voluptate,TRX000015,1,191987,191987
OBT00618,Obat Corrupti,TRX000016,3,198667,596001
OBT01388,Obat Nisi,TRX000016,2,173025,346050
OBT01250,Obat Aut,TRX000016,2,28518,57036
OBT00154,Obat Harum,TRX000016,2,169704,339408
OBT00044,Obat Iure,TRX000016,3,87158,261474
OBT00967,Obat Vero,TRX000017,2,21303,42606
OBT01682,Obat Natus,TRX000017,2,90899,181798
OBT00894,Obat Architecto,TRX000018,2,29332,58664
OBT00728,Obat Provident,TRX000018,1,17333,17333
OBT01063,Obat Facere,TRX000018,1,125831,125831
OBT01654,Obat Aliquam,TRX000018,1,178253,178253
OBT01030,Obat Reprehenderit,TRX000019,1,12334,12334
OBT00412,Obat Tempora,TRX000019,1,16494,16494
OBT01584,Obat Dolorem,TRX000019,2,47540,95080
OBT00345,Obat Quo,TRX000020,1,73216,73216
OBT00927,Obat Quis,TRX000021,1,198163,198163
OBT01286,Obat Dolorem,TRX000021,3,7510,22530
OBT01306,Obat Nobis,TRX000022,2,97535,195070
OBT01840,Obat Maiores,TRX000022,2,12891,25782
OBT00714,Obat Corrupti,TRX000022,3,131586,394758
OBT00257,Obat Exercitationem,TRX000022,2,127914,255828
OBT01483,Obat Magnam,TRX000022,2,30121,60242
OBT00284,Obat Voluptatibus,TRX000023,2,16930,33860
OBT00429,Obat Quaerat,TRX000023,1,148433,148433
OBT01091,Obat Tenetur,TRX000023,1,170179,170179
OBT00438,Obat Porro,TRX000024,1,28380,28380
OBT01846,Obat Officiis,TRX000024,1,198411,198411
OBT00684,Obat Minima,TRX000024,3,95137,285411
OBT01462,Obat Vero,TRX000024,3,103931,311793
OBT00759,Obat Magni,TRX000024,1,32300,32300
OBT01590,Obat Illum,TRX000025,2,5969,11938
OBT00038,Obat Saepe,TRX000025,3,71009,213027
OBT00138,Obat Illum,TRX000025,3,198406,595218
OBT00490,Obat Dolorem,TRX000026,3,134845,404535
OBT01155,Obat Fuga,TRX000026,3,20443,61329
OBT01411,Obat Soluta,TRX000027,1,87900,87900
OBT00548,Obat Sapiente,TRX000028,1,180704,180704
OBT00150,Obat Temporibus,TRX000028,3,40675,122025
OBT00911,Obat Numquam,TRX000029,2,137454,274908
OBT00390,Obat Fuga,TRX000029,3,183601,550803
OBT00306,Obat Itaque,TRX000029,2,28500,57000
OBT00783,Obat Quas,TRX000029,3,137617,412851
OBT01246,Obat Dignissimos,TRX000029,3,145008,435024
OBT01531,Obat Quod,TRX000030,3,38470,115410
OBT01481,Obat Enim,TRX000030,2,104996,209992
OBT00447,Obat Quam,TRX000030,2,45405,90810
OBT01161,Obat Fugiat,TRX000030,1,20335,20335
OBT00555,Obat Blanditiis,TRX000030,1,53519,53519
OBT00978,Obat Perspiciatis,TRX000031,1,159203,159203
OBT00997,Obat Magni,TRX000031,1,191423,191423
OBT01001,Obat Perferendis,TRX000031,2,139528,279056
OBT00165,Obat Cumque,TRX000032,3,39103,117309
OBT00091,Obat Repellat,TRX000033,2,149894,299788
OBT01212,Obat Cum,TRX000033,1,58335,58335
OBT00739,Obat Maxime,TRX000034,3,93535,280605
OBT01890,Obat Et,TRX000034,1,32345,32345
OBT01026,Obat Autem,TRX000034,2,103162,206324
OBT00860,Obat Porro,TRX000034,3,7071,21213
OBT00332,Obat Quibusdam,TRX000035,2,44653,89306
OBT00439,Obat Commodi,TRX000035,1,10377,10377
OBT00514,Obat Velit,TRX000036,3,16821,50463
OBT00158,Obat Enim,TRX000036,1,26556,26556
OBT00744,Obat Labore,TRX000037,3,36637,109911
OBT00075,Obat Enim,TRX000037,1,100157,100157
OBT00196,Obat Odit,TRX000037,1,28324,28324
OBT01565,Obat Laboriosam,TRX000038,2,57759,115518
OBT00134,Obat Eaque,TRX000038,2,115328,230656
OBT00602,Obat Omnis,TRX000038,2,175325,350650
OBT01328,Obat Corrupti,TRX000039,3,28584,85752
OBT01422,Obat Atque,TRX000040,3,116101,348303
OBT01040,Obat Unde,TRX000041,3,198897,596691
OBT00065,Obat Laboriosam,TRX000041,1,188400,188400
OBT00401,Obat Recusandae,TRX000042,1,125647,125647
OBT01524,Obat Placeat,TRX000042,1,167752,167752
OBT01758,Obat Officiis,TRX000042,2,101341,202682
OBT00854,Obat Officiis,TRX000042,3,150125,450375
OBT00625,Obat Nesciunt,TRX000042,2,158413,316826
OBT01422,Obat Atque,TRX000043,1,116101,116101
OBT00525,Obat Veritatis,TRX000043,1,71422,71422
OBT01841,Obat At,TRX000043,1,103225,103225
OBT00696,Obat Architecto,TRX000044,3,39382,118146
OBT01916,Obat Beatae,TRX000044,3,90661,271983
OBT01520,Obat Rerum,TRX000044,2,98163,196326
OBT00023,Obat Ex,TRX000045,3,177341,532023
OBT00157,Obat Rerum,TRX000045,2,155944,311888
OBT00183,Obat Vero,TRX000045,2,101364,202728
OBT00127,Obat Nemo,TRX000045,1,31318,31318
OBT00872,Obat Perspiciatis,TRX000046,3,167054,501162
OBT00261,Obat Atque,TRX000047,2,109216,218432
OBT01527,Obat Optio,TRX000047,1,68740,68740
OBT00967,Obat Vero,TRX000047,3,21303,63909
OBT01895,Obat Eligendi,TRX000048,2,185623,371246
OBT01380,Obat Dolor,TRX000048,1,144707,144707
OBT01010,Obat Aspernatur,TRX000048,3,151545,454635
OBT00173,Obat Aut,TRX000048,1,39998,39998
OBT01557,Obat Tempora,TRX000049,1,137935,137935
OBT01701,Obat Debitis,TRX000049,2,174101,348202
OBT00950,Obat Ex,TRX000049,1,141227,141227
OBT01803,Obat Sint,TRX000049,2,7237,14474
OBT01859,Obat Eum,TRX000049,3,83548,250644
OBT00546,Obat Dolor,TRX000050,2,194817,389634
OBT01286,Obat Dolorem,TRX000050,3,7510,22530
OBT01742,Obat Quod,TRX000051,1,82345,82345
OBT00631,Obat Tenetur,TRX000051,2,18348,36696
OBT00896,Obat Odio,TRX000051,2,149647,299294
OBT01849,Obat Animi,TRX000051,1,177713,177713
OBT00003,Obat Ea,TRX000051,2,12639,25278
OBT01368,Obat Error,TRX000052,3,38405,115215
OBT00995,Obat Molestiae,TRX000052,3,38324,114972
OBT00323,Obat Saepe,TRX000052,1,165676,165676
OBT00791,Obat Omnis,TRX000052,1,41116,41116
OBT01036,Obat Impedit,TRX000053,1,84996,84996
OBT00773,Obat Assumenda,TRX000053,1,48790,48790
OBT01692,Obat Autem,TRX000053,3,195656,586968
OBT00625,Obat Nesciunt,TRX000053,2,158413,316826
OBT01685,Obat Neque,TRX000054,2,170008,340016
OBT00288,Obat Minima,TRX000054,2,167439,334878
OBT00339,Obat Accusantium,TRX000055,3,43960,131880
OBT01708,Obat Assumenda,TRX000055,3,89364,268092
OBT01821,Obat Eum,TRX000055,3,129371,388113
OBT00798,Obat Labore,TRX000056,1,129168,129168
OBT00642,Obat Placeat,TRX000056,1,161195,161195
OBT01110,Obat Nesciunt,TRX000057,3,9892,29676
OBT00263,Obat Dolorem,TRX000057,3,60631,181893
OBT00396,Obat Fugiat,TRX000057,2,32805,65610
OBT00867,Obat Sit,TRX000058,2,121965,243930
OBT00966,Obat Suscipit,TRX000058,2,29182,58364
OBT01015,Obat Ipsam,TRX000058,2,33923,67846
OBT00635,Obat Facere,TRX000058,3,170258,510774
OBT01184,Obat Consectetur,TRX000058,3,20894,62682
OBT01586,Obat Tempora,TRX000059,3,124092,372276
OBT00065,Obat Laboriosam,TRX000059,2,188400,376800
OBT01001,Obat Perferendis,TRX000059,1,139528,139528
OBT00292,Obat Necessitatibus,TRX000060,2,180967,361934
OBT01539,Obat Reiciendis,TRX000060,1,158004,158004
OBT00799,Obat Magni,TRX000061,3,94475,283425
OBT01865,Obat Quia,TRX000061,2,41473,82946
OBT00048,Obat Eius,TRX000061,2,107223,214446
OBT01576,Obat Nulla,TRX000062,3,91807,275421
OBT01833,Obat Molestiae,TRX000063,3,117405,352215
OBT00009,Obat Exercitationem,TRX000063,2,173897,347794
OBT00609,Obat Suscipit,TRX000064,1,83883,83883
OBT01893,Obat Nobis,TRX000064,2,51566,103132
OBT00339,Obat Accusantium,TRX000064,3,43960,131880
OBT00459,Obat Unde,TRX000064,3,30195,90585
OBT00767,Obat Tempora,TRX000064,2,164817,329634
OBT01078,Obat Libero,TRX000065,1,93866,93866
OBT01417,Obat Quia,TRX000065,3,154899,464697
OBT01047,Obat Eos,TRX000065,2,16713,33426
OBT00035,Obat Atque,TRX000065,1,179120,179120
OBT01407,Obat Vitae,TRX000065,1,77858,77858
OBT01014,Obat Nulla,TRX000066,3,112117,336351
OBT00322,Obat Quia,TRX000067,2,74000,148000
OBT00756,Obat Alias,TRX000067,1,140105,140105
OBT01263,Obat Quo,TRX000068,2,183808,367616
OBT01956,Obat Aliquam,TRX000069,2,91216,182432
OBT01516,Obat Nemo,TRX000069,1,38025,38025
OBT01744,Obat Sit,TRX000069,2,141005,282010
OBT00091,Obat Repellat,TRX000069,2,149894,299788
OBT01012,Obat Tenetur,TRX000069,3,36133,108399
OBT00715,Obat Voluptatibus,TRX000070,3,38841,116523
OBT00915,Obat Temporibus,TRX000070,2,102774,205548
OBT01978,Obat Modi,TRX000070,3,166935,500805
OBT01359,Obat Illum,TRX000070,2,181206,362412
OBT00986,Obat Ipsum,TRX000070,2,115997,231994
OBT00336,Obat Magnam,TRX000071,3,120340,361020
OBT00935,Obat Assumenda,TRX000071,3,169559,508677
OBT00449,Obat Provident,TRX000071,1,83262,83262
OBT00741,Obat Sint,TRX000071,3,34876,104628
OBT01775,Obat Nesciunt,TRX000071,1,148301,148301
OBT01835,Obat Saepe,TRX000072,2,114494,228988
OBT01810,Obat Atque,TRX000073,2,176785,353570
OBT00971,Obat Corporis,TRX000073,1,61304,61304
OBT01854,Obat Quos,TRX000073,2,116599,233198
OBT00385,Obat Temporibus,TRX000073,1,182447,182447
OBT01707,Obat Omnis,TRX000073,2,51923,103846
OBT00819,Obat Voluptates,TRX000074,3,112297,336891
OBT00138,Obat Illum,TRX000074,3,198406,595218
OBT01260,Obat Nobis,TRX000074,2,165024,330048
OBT00088,Obat Eligendi,TRX000075,2,181055,362110
OBT00524,Obat Explicabo,TRX000075,3,154023,462069
OBT01036,Obat Impedit,TRX000075,3,84996,254988
OBT00184,Obat Totam,TRX000075,2,52681,105362
OBT00136,Obat Quibusdam,TRX000075,2,196163,392326
OBT00487,Obat Illo,TRX000076,3,184892,554676
OBT00610,Obat Doloribus,TRX000077,1,126484,126484
OBT01479,Obat Similique,TRX000077,2,18684,37368
OBT01917,Obat Odit,TRX000077,3,112704,338112
OBT00863,Obat Itaque,TRX000078,2,165012,330024
OBT01313,Obat Reiciendis,TRX000078,2,7210,14420
OBT00958,Obat Sequi,TRX000079,1,99704,99704
OBT01952,Obat Magni,TRX000079,3,109657,328971
OBT01719,Obat Natus,TRX000079,1,110105,110105
OBT00358,Obat Quas,TRX000079,1,124998,124998
OBT01278,Obat Enim,TRX000079,1,9161,9161
OBT00911,Obat Numquam,TRX000080,3,137454,412362
OBT01405,Obat Commodi,TRX000081,2,63863,127726
OBT01417,Obat Quia,TRX000081,1,154899,154899
OBT01535,Obat Labore,TRX000081,2,139512,279024
OBT00241,Obat At,TRX000081,3,112092,336276
OBT00968,Obat Commodi,TRX000082,1,116381,116381
OBT00429,Obat Quaerat,TRX000082,3,148433,445299
OBT01961,Obat Explicabo,TRX000082,2,156029,312058
OBT01891,Obat Pariatur,TRX000082,1,181917,181917
OBT01777,Obat Temporibus,TRX000082,2,25488,50976
OBT01261,Obat At,TRX000083,3,137335,412005
OBT00369,Obat Aspernatur,TRX000083,1,49117,49117
OBT01800,Obat Optio,TRX000083,3,198939,596817
OBT00362,Obat Repudiandae,TRX000083,2,43811,87622
OBT00719,Obat Facilis,TRX000084,3,163793,491379
OBT01687,Obat Quisquam,TRX000084,3,38150,114450
OBT01940,Obat Totam,TRX000084,2,159007,318014
OBT01753,Obat Alias,TRX000084,1,116700,116700
OBT01228,Obat Nobis,TRX000085,2,48878,97756
OBT00509,Obat Nobis,TRX000085,2,82458,164916
OBT00862,Obat Sunt,TRX000085,2,143357,286714
OBT01023,Obat Animi,TRX000086,3,35865,107595
OBT00504,Obat Saepe,TRX000086,1,184388,184388
OBT01120,Obat Tempora,TRX000086,2,156926,313852
